<DOC>	<DOC>+BDTAG
kapanık	TUR10-0412330
ve	TUR10-0816400
sıkıntılı	TUR10-0538640
bir	TUR10-0105580
duygu	TUR10-0227000
belirmişti	TUR10-0091590
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120750
ikramiye	TUR10-0366400
borçlarımı	TUR10-0113700
kapar	TUR10-1243020
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Manzumem	TUR10-0525660
çıkmadı	TUR10-0220510
ve	TUR10-0816400
Rübap	TUR10-0000000
kapandı	TUR10-0412460
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Rahatça	TUR10-1093850
çalışmak	TUR10-0147850
istediğim	TUR10-0205320
zamanlar	TUR10-0540930
buraya	TUR10-0124730
kapanırım	TUR10-0412450
ve	TUR10-0816400
kimse	TUR10-0461310
girmesin	TUR10-0298730
diye	TUR10-0211480
bazen	TUR10-0281830
içeriden	TUR10-0358400
de	TUR10-0178920
kapıyı	TUR10-0412920
kilitlerim	TUR10-0460600
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kazadan	TUR10-0435370
sonra	TUR10-0565820
bir	TUR10-0106880
gözü	TUR10-0308060
kapandı	TUR10-0412510
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Haykırmak	TUR10-0133220
istedim	TUR10-0205320
,	TUR10-0820240
çıkmadı	TUR10-0292830
feryadım	TUR10-0335560
Kapanıp	TUR10-0412480
toprağa	TUR10-0415100
,	TUR10-0820240
ağladım	TUR10-0013990
ağladım	TUR10-0013990
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Derken	TUR10-0196750
balıkçı	TUR10-0074070
öfkeyle	TUR10-0598870
ayağa	TUR10-0946160
fırladı	TUR10-0946160
,	TUR10-0820240
kafese	TUR10-0398030
kapatılmış	TUR10-0412710
bir	TUR10-0105580
kaplan	TUR10-0414010
gibi	TUR10-0297510
dolandı	TUR10-0216170
güvertede	TUR10-0317960
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Madrabaz	TUR10-0516880
ve	TUR10-0816400
kaparozcuların	TUR10-0412560
,	TUR10-0820240
hasta	TUR10-0526210
ve	TUR10-0816400
alillerin	TUR10-0330740
toplandığı	TUR10-0781230
bir	TUR10-0105550
merkezdir	TUR10-0536930
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Evvelki	TUR10-0288810
hafta	TUR10-0320830
mühendis	TUR10-0560560
İlhami	TUR10-0000000
Bey'le	TUR10-0097260
karısı	TUR10-0644350
çok	TUR10-1256850
güzel	TUR10-0318100
bir	TUR10-0105580
bambu	TUR10-0341040
takımı	TUR10-0739580
kapattılar	TUR10-0412780
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kendi	TUR10-0440770
elimdeki	TUR10-0240810
poşetin	TUR10-0634210
ağzını	TUR10-0013310
kapatmaya	TUR10-0773060
çalışırken	TUR10-0147850
onun	TUR10-0581470
elindekilere	TUR10-0240810
takıldı	TUR10-0739540
gözüm	TUR10-0308060
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sanatçılar	TUR10-0662330
arasındaki	TUR10-0041300
tatsız	TUR10-0752000
olayı	TUR10-0267960
kapatmak	TUR10-0412820
istiyordu	TUR10-0381840
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Gazete	TUR10-0285370
kapatmak	TUR10-0412200
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Serseri	TUR10-0195520
güruhunun	TUR10-0196630
başlarından	TUR10-0397540
düşmeyen	TUR10-0881240
siperli	TUR10-0695770
sipersiz	TUR10-0315900
kapelalarla	TUR10-0412910
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kapçıklı	TUR10-0412890
tohum	TUR10-0778680
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Onların	TUR10-0588290
başvuracağı	TUR10-0084210
her	TUR10-0339330
kapıya	TUR10-0412940
gitmiş	TUR10-0298980
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Evlerin	TUR10-0259060
kapılarında	TUR10-0412920
kocaman	TUR10-0136960
yeşil	TUR10-0851640
bronz	TUR10-0120620
tokmaklar	TUR10-0779200
vardı	TUR10-0540500
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bugün	TUR10-0121310
yine	TUR10-0106250
kaç	TUR10-0394800
kapı	TUR10-0412940
dolaştın	TUR10-0216520
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bayram	TUR10-0087030
geldi	TUR10-0290430
,	TUR10-0820240
yine	TUR10-0106250
masraf	TUR10-1096020
kapıları	TUR10-1096020
açıldı	TUR10-1096020
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kapıcının	TUR10-0413030
karısının	TUR10-0644350
ispirto	TUR10-0381270
ocağında	TUR10-0381270
kızarttığı	TUR10-0458650
patlıcanları	TUR10-0619050
yiyorduk	TUR10-0847730
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Onun	TUR10-0581470
akrabaları	TUR10-0020380
benim	TUR10-0092580
kapı	TUR10-0413020
bir	TUR10-0413020
komşumdur	TUR10-0413020
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Onlar	TUR10-0588290
için	TUR10-0359070
iş	TUR10-0032580
,	TUR10-0820240
bir	TUR10-0105580
yere	TUR10-0024100
âdeta	TUR10-0338890
zorla	TUR10-0877440
kapılanmak	TUR10-0715010
gibi	TUR10-0297510
bir	TUR10-1222130
şeydi	TUR10-1222130
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sonra	TUR10-0565820
redingot	TUR10-0644090
devri	TUR10-0144540
geldi	TUR10-0290430
ve	TUR10-0816400
redingot	TUR10-0644090
içinden	TUR10-0487570
yarı	TUR10-0576340
uşak	TUR10-0800775
,	TUR10-0820240
yarı	TUR10-0576340
kapı	TUR10-0413180
kulu	TUR10-0413180
,	TUR10-0820240
riyakâr	TUR10-0563120
,	TUR10-0820240
adi	TUR10-0008620
bir	TUR10-0105580
nesil	TUR10-0085100
türedi	TUR10-0793600
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ben	TUR10-0092580
onun	TUR10-0581470
sözlerine	TUR10-0505340
kapıldım	TUR10-0413310
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Garip	TUR10-1200040
bir	TUR10-0105580
hisse	TUR10-0227460
kapıldım	TUR10-0413340
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120750
iki	TUR10-0364800
şiiri	TUR10-0525650
övenler	TUR10-0940600
onların	TUR10-0588290
kalıbından	TUR10-0100990
gelen	TUR10-0289330
ucuz	TUR10-0795220
bir	TUR10-0105580
güzelliğe	TUR10-0318370
kapılırlar	TUR10-0413330
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kızın	TUR10-0458280
güzelliğine	TUR10-0318370
kapılarak	TUR10-0413340
evlenme	TUR10-0756140
teklif	TUR10-1156890
etti	TUR10-1156890
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Mahpeyker	TUR10-0000000
kalfa	TUR10-0403090
isminde	TUR10-0006800
bir	TUR10-0105580
kapı	TUR10-0413560
yoldaşı	TUR10-0413560
vardır	TUR10-0540500
ki	TUR10-0459830
Kıztaşı	TUR10-0000000
taraflarında	TUR10-0745930
otururdu	TUR10-0364610
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Her	TUR10-0339330
seferinde	TUR10-0186930
kıyasıya	TUR10-0457290
kapıştıklarını	TUR10-0413510
,	TUR10-0820240
nahak	TUR10-0568350
yere	TUR10-0568350
kalp	TUR10-1034430
kıracaklarını	TUR10-1034430
sanıyor	TUR10-0104550
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yurdumuz	TUR10-0863380
,	TUR10-0820240
geçen	TUR10-0288810
yüzyıllarda	TUR10-0049610
kapitülasyonlardan	TUR10-0413690
çok	TUR10-1256850
zarar	TUR10-0993400
görmüştür	TUR10-0993400
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Eve	TUR10-0259060
ekmek	TUR10-0238960
ve	TUR10-0816400
kıyma	TUR10-0457880
götürdüğünü	TUR10-0307430
inadına	TUR10-0203850
unutturmak	TUR10-0799440
istercesine	TUR10-0205320
ansiklopedilerin	TUR10-0038820
,	TUR10-0820240
kapitone	TUR10-0413670
fonların	TUR10-1254750
önünde	TUR10-0142070
bize	TUR10-0110290
poz	TUR10-0912880
veriyor	TUR10-0912880
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120760
,	TUR10-0820240
kaplama	TUR10-0413800
bir	TUR10-0105580
bilezik	TUR10-0102830
değil	TUR10-0187890
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Her	TUR10-0339330
pencereyi	TUR10-0622420
,	TUR10-0820240
her	TUR10-0339330
kaplamayı	TUR10-0413810
tanıyordum	TUR10-0743930
artık	TUR10-0047660
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Evlerin	TUR10-0053840
bir	TUR10-0105570
tarafını	TUR10-0745910
yol	TUR10-0858650
,	TUR10-0820240
üç	TUR10-0806010
tarafını	TUR10-0745910
da	TUR10-0178920
yine	TUR10-0978370
çam	TUR10-0148740
ormanları	TUR10-0590750
kaplar	TUR10-0052860
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Karanlık	TUR10-0417480
tüm	TUR10-0792600
gökyüzünü	TUR10-0675500
kapladı	TUR10-0413860
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Dudaklarının	TUR10-0013290
üstünü	TUR10-0811620
kaplayan	TUR10-0413870
muntazam	TUR10-0376510
kesilmiş	TUR10-0445170
sert	TUR10-0089360
ve	TUR10-0816400
koyu	TUR10-0479090
siyah	TUR10-1257090
bıyıkları	TUR10-0100390
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yorgan	TUR10-1186980
kaplamak	TUR10-1186980
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İçini	TUR10-0131870
sevinç	TUR10-0087050
kapladı	TUR10-0217210
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ünü	TUR10-0733660
cihanı	TUR10-0851530
kapladı	TUR10-0217210
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Gümüş	TUR10-0314600
kaplamalı	TUR10-0413960
tabaka	TUR10-0735350
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bunu	TUR10-0120750
bilmek	TUR10-0104510
içimi	TUR10-0131870
kederle	TUR10-0756190
dolduruyordu	TUR10-0413950
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kaplık	TUR10-0414210
kâğıt	TUR10-0398500
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Çantasından	TUR10-0149840
çok	TUR10-1256850
sayfalı	TUR10-0656720
,	TUR10-0820240
maroken	TUR10-0526690
kaplı	TUR10-0414140
küçük	TUR10-0143230
bir	TUR10-0105580
defter	TUR10-0187330
çıkardı	TUR10-0880140
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0105590
hamlede	TUR10-0106930
atıldım	TUR10-0716690
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İki	TUR10-0364800
kaplık	TUR10-0411530
aşure	TUR10-0023300
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Gemideki	TUR10-0290760
bütün	TUR10-0585370
askerler	TUR10-0050020
,	TUR10-0820240
derhâl	TUR10-0338840
kumanda	TUR10-0489940
kulesinin	TUR10-0489020
altındaki	TUR10-0030070
kaporta	TUR10-0414410
denilen	TUR10-0921020
delikten	TUR10-0190400
içeri	TUR10-1155190
giriyorlar	TUR10-0298730
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0105580
müzik	TUR10-0556740
parçasını	TUR10-0614890
kapmak	TUR10-0414320
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Buraya	TUR10-0124730
ben	TUR10-0092580
kendi	TUR10-0440770
kör	TUR10-0482480
kaprisimle	TUR10-0350710
,	TUR10-0820240
kendi	TUR10-0440770
irademle	TUR10-0381940
geldim	TUR10-0185910
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İtalyan	TUR10-0387060
kapriçyosu	TUR10-0414440
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Eniştemiz	TUR10-0248130
için	TUR10-0359070
yemek	TUR10-0513570
,	TUR10-0820240
tabiat	TUR10-0735980
,	TUR10-0820240
cemiyet	TUR10-0781800
ve	TUR10-0816400
medeniyetle	TUR10-0531950
rabıtaları	TUR10-0639930
olan	TUR10-0405220
nazik	TUR10-0572130
ve	TUR10-0816400
şümullü	TUR10-0414550
bir	TUR10-0105580
meseleydi	TUR10-0384090
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İnsanı	TUR10-0375930
en	TUR10-0246710
çok	TUR10-0172500
yıpratıp	TUR10-0855820
çürüten	TUR10-0177160
kadınlar	TUR10-0086000
en	TUR10-0246710
kaprisli	TUR10-0414470
kadınlar	TUR10-0086000
oluyor	TUR10-0405220
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Ancak	TUR10-0035990
,	TUR10-0820240
bizler	TUR10-0110290
kaptan	TUR10-0414740
köprüsüne	TUR10-0414740
çıkamayız	TUR10-0880300
,	TUR10-0820240
bırakmazlar	TUR10-0100190
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Başkasını	TUR10-0203020
seçselerdi	TUR10-0672680
,	TUR10-0820240
o	TUR10-0581470
kaptan	TUR10-0414680
,	TUR10-0820240
ben	TUR10-0092580
de	TUR10-0178920
seve	TUR10-0682580
seve	TUR10-0682580
dalgıç	TUR10-0074040
ya	TUR10-0823620
da	TUR10-0823620
hava	TUR10-0253010
verici	TUR10-0817900
makineci	TUR10-0520700
olurdum	TUR10-0405220
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kadınlarla	TUR10-0086000
beraber	TUR10-0094080
külhanbeylerin	TUR10-0501360
kaptıkaçtı	TUR10-0414810
oynadıkları	TUR10-0596430
yalnız	TUR10-0355170
kahve	TUR10-0399500
ile	TUR10-0367380
çay	TUR10-0154890
içilen	TUR10-0359840
bir	TUR10-0105580
halk	TUR10-0323130
kahvesi	TUR10-0399670
vardı	TUR10-0540500
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kaptıkaçtı	TUR10-0414800
tipi	TUR10-0777240
arabası	TUR10-0520720
arka	TUR10-0045480
tekerlekleri	TUR10-0758010
duvara	TUR10-0226580
takılı	TUR10-0739490
durmuştu	TUR10-0225680
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İsli	TUR10-0380650
tavana	TUR10-0752290
bakarak	TUR10-0571870
kaputumun	TUR10-0414920
düğmelerini	TUR10-1201920
iliklemeye	TUR10-1201920
başladım	TUR10-0082730
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hadiye	TUR10-0000000
de	TUR10-0178920
beş	TUR10-0095960
yıl	TUR10-0854240
önce	TUR10-0602840
kocasını	TUR10-0465480
daha	TUR10-0178860
genç	TUR10-0291000
bir	TUR10-0105580
aktrise	TUR10-0022560
kaptırdı	TUR10-0414850
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bundan	TUR10-0124530
benim	TUR10-0092580
hiçbir	TUR10-0343540
kârım	TUR10-0415070
yok	TUR10-0858030
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kıştı	TUR10-0454930
,	TUR10-0820240
yerler	TUR10-0850680
iki	TUR10-0364800
karış	TUR10-0421140
kar	TUR10-0415040
tutmuştu	TUR10-0789920
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kara	TUR10-0415120
gözlüm	TUR10-0309600
efkârlanma	TUR10-0892670
gül	TUR10-0313110
gayri	TUR10-0284690
İbibikler	TUR10-0154840
öter	TUR10-0721840
ötmez	TUR10-0721840
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kurbağa	TUR10-0491940
karada	TUR10-0415100
da	TUR10-0994810
soluk	TUR10-1105180
alır	TUR10-1105180
,	TUR10-0820240
suda	TUR10-0000030
da	TUR10-0994810
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kaynağını	TUR10-0434130
iftiradan	TUR10-0415160
ve	TUR10-0816400
yalandan	TUR10-0827940
alır	TUR10-1242850
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Kendi	TUR10-0440770
vicdanında	TUR10-0819660
kendi	TUR10-0440770
durumunu	TUR10-0226140
düzeltmek	TUR10-0891220
,	TUR10-0820240
geçmişin	TUR10-0288840
lekesini	TUR10-0415150
yıkamak	TUR10-0862100
istiyordu	TUR10-0205320
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Olmuyor	TUR10-0585900
,	TUR10-0820240
aklımı	TUR10-0331710
ne	TUR10-0064910
kadar	TUR10-0064910
zorlarsam	TUR10-0877440
zorlayayım	TUR10-0877440
boşuna	TUR10-0098000
,	TUR10-0820240
hep	TUR10-0084000
aynı	TUR10-0062710
karabasan	TUR10-0394720
çıkıyor	TUR10-0220510
karşıma	TUR10-0350740
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120750
kara	TUR10-0415190
ağızlıların	TUR10-0415190
yüzde	TUR10-0239950
yüz	TUR10-0239950
sahteci	TUR10-0232930
ve	TUR10-0816400
yalancı	TUR10-0827940
olduklarını	TUR10-0405220
bilir	TUR10-0104510
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Tenha	TUR10-0764480
yollarda	TUR10-0858670
şapkaları	TUR10-0723610
tüylü	TUR10-0794880
İtalyan	TUR10-0387060
karabinyerleri	TUR10-0415500
kol	TUR10-0296190
gezer	TUR10-0296190
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
O	TUR10-0581460
devirlere	TUR10-0144540
ait	TUR10-0016590
baltalar	TUR10-0754750
,	TUR10-0820240
karabinalar	TUR10-0415490
,	TUR10-0820240
paslanmamış	TUR10-0616890
çelikleriyle	TUR10-0632100
müzelerimizdedir	TUR10-0567240
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Halkın	TUR10-0323130
vurguncuya	TUR10-0821720
,	TUR10-0820240
karaborsacıya	TUR10-0415520
hıncı	TUR10-0341500
vardır	TUR10-0540500
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bir	TUR10-0105570
teneke	TUR10-0764270
benzin	TUR10-0093890
aldık	TUR10-1129520
karaborsadan	TUR10-0415510
,	TUR10-0820240
dayan	TUR10-0156370
,	TUR10-0820240
dedik	TUR10-0191150
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Biz	TUR10-0110290
burada	TUR10-0124750
hepimiz	TUR10-0339220
karaciğerimiz	TUR10-0415720
delinerek	TUR10-0856090
ölmeye	TUR10-0269900
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Karaca	TUR10-0415660
kuruca	TUR10-0415660
,	TUR10-0820240
ufak	TUR10-0143230
tefek	TUR10-0143230
bir	TUR10-0105580
kadındı	TUR10-0086000
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Karadutum	TUR10-0415890
,	TUR10-0820240
çatalkaram	TUR10-0987010
,	TUR10-0820240
Çingene'm	TUR10-0169060
Nar	TUR10-0570660
tanem	TUR10-0743400
,	TUR10-0820240
nur	TUR10-0580560
tanem	TUR10-0743400
bir	TUR10-0105590
tanem	TUR10-0106040
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hesabın	TUR10-0339840
,	TUR10-0820240
bütün	TUR10-0531560
bu	TUR10-0120750
derslerin	TUR10-0197230
hepsinin	TUR10-0143690
üstünde	TUR10-0517030
olması	TUR10-0405220
,	TUR10-0820240
Ömer	TUR10-0000000
hocanın	TUR10-0551790
kara	TUR10-0415730
cümleyi	TUR10-0415730
iyice	TUR10-0045380
okutmasındandır	TUR10-0584300
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Garson	TUR10-0283960
gel	TUR10-0290350
şu	TUR10-0734020
karafayı	TUR10-0415960
doldur	TUR10-0413950
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Gayet	TUR10-0621150
iyi	TUR10-0388960
kara	TUR10-0415900
düzen	TUR10-0415900
çalardı	TUR10-0148580
,	TUR10-0820240
gür	TUR10-0316810
bir	TUR10-0105580
sesle	TUR10-0680750
eski	TUR10-0253240
türküler	TUR10-0144930
söylerdi	TUR10-0144930
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
O	TUR10-0581460
işleri	TUR10-0384050
bu	TUR10-0120750
saatte	TUR10-0651580
karakolda	TUR10-0416470
bulunan	TUR10-0123800
küçük	TUR10-0045870
memurlar	TUR10-0386890
bilmez	TUR10-0104510
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hepsi	TUR10-0143690
hasta	TUR10-0526210
ve	TUR10-0816400
küskün	TUR10-0503640
olan	TUR10-0405220
bu	TUR10-0120750
yurttaşlar	TUR10-0863680
da	TUR10-0178920
bugünün	TUR10-0121320
ağır	TUR10-0012120
iktisadi	TUR10-0366680
koşullarının	TUR10-0477750
kara	TUR10-0872450
kışında	TUR10-0872450
sefalete	TUR10-0263520
terk	TUR10-0767550
edilmişlerdi	TUR10-0767550
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Hâlbuki	TUR10-0322570
oğlu	TUR10-0817130
hodkâm	TUR10-0235790
,	TUR10-0820240
müsrif	TUR10-0669440
,	TUR10-0820240
tembel	TUR10-0762280
,	TUR10-0820240
karaktersiz	TUR10-0416690
bir	TUR10-0105580
serseriydi	TUR10-0195520
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Sonra	TUR10-0565820
karakolluk	TUR10-0416510
olmaz	TUR10-0416510
mıyız	TUR10-0558870
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Tiyatro	TUR10-1231690
eleştirmenleri	TUR10-1231690
,	TUR10-0820240
yazarlar	TUR10-0556610
,	TUR10-0820240
aydınlar	TUR10-0060745
bu	TUR10-0120760
karakuşi	TUR10-0416810
karara	TUR10-0351290
karşı	TUR10-1063550
çıktılar	TUR10-1063550
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Karaktersizliklerini	TUR10-0609990
bütün	TUR10-1223760
dünyaya	TUR10-1223760
ilan	TUR10-0367170
için	TUR10-0359030
mütemadiyen	TUR10-0939030
yeni	TUR10-0731770
yeni	TUR10-0731770
cemiyetler	TUR10-0135490
kuruyorlar	TUR10-0336870
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Duvarı	TUR10-0226580
karalamışlar	TUR10-0416930
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
İlk	TUR10-0369130
şiirim	TUR10-0525650
olan	TUR10-0405220
bir	TUR10-0105580
türkü	TUR10-0794220
güftesini	TUR10-0706980
,	TUR10-0820240
Üsküp	TUR10-0000000
türkülerinde	TUR10-0794220
gördüğüm	TUR10-0305590
vezinle	TUR10-0600840
karalamaya	TUR10-0416900
başladım	TUR10-0082730
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Acının	TUR10-0690530
,	TUR10-0820240
yanlışın	TUR10-0331590
hatta	TUR10-0178930
çirkinin	TUR10-0169670
kara	TUR10-0417280
mizahı	TUR10-0417280
tam	TUR10-1151180
anlamıyla	TUR10-1151180
yapılmadı	TUR10-0834440
daha	TUR10-0178850
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Son	TUR10-0701950
iki	TUR10-0364800
satırı	TUR10-0668360
karalamalı	TUR10-0139500
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yengemin	TUR10-0848560
verdiği	TUR10-0515000
karanfili	TUR10-0417410
dişlerimle	TUR10-0209810
ezip	TUR10-0262500
emerek	TUR10-0246020
odaya	TUR10-0582130
giriyorum	TUR10-0298730
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Acaba	TUR10-0504150
bu	TUR10-0120750
gece	TUR10-0793130
limanda	TUR10-0511500
tek	TUR10-0343540
demirle	TUR10-0191540
yatabilecek	TUR10-0841440
miyim	TUR10-0544040
?	TUR10-0703510
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120750
karanlık	TUR10-0417490
işlerin	TUR10-0799010
hesabını	TUR10-0900510
sorarlar	TUR10-0900510
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Karanlıkta	TUR10-0417480
duyduğumuz	TUR10-0750060
çam	TUR10-0148740
kokularına	TUR10-0467270
artık	TUR10-0072560
yakınlaştığımız	TUR10-0826410
denizin	TUR10-0193590
rutubeti	TUR10-0600580
karışıyordu	TUR10-0421330
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Mahkeme	TUR10-0518360
kararını	TUR10-0518360
aldı	TUR10-0906080
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Bu	TUR10-0120750
kararı	TUR10-0351290
söyleyen	TUR10-0191150
sesin	TUR10-0680750
tesiri	TUR10-0257930
gözlerimizi	TUR10-0308060
yaşla	TUR10-0310130
doldurdu	TUR10-0217190
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Yemeğin	TUR10-0513570
tuzu	TUR10-0791480
karar	TUR10-0417680
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Havanın	TUR10-0253010
hiç	TUR10-0343500
kararı	TUR10-0417660
yok	TUR10-0858030
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Otelin	TUR10-0593590
arkasındaki	TUR10-0045420
gölgelik	TUR10-0303180
bir	TUR10-0105580
çardağı	TUR10-0151060
kendimize	TUR10-0440770
karargâh	TUR10-0417720
yapmıştık	TUR10-0834440
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Siper	TUR10-0695720
başları	TUR10-0080710
,	TUR10-0820240
büyük	TUR10-0128840
karargâhın	TUR10-0417700
etrafı	TUR10-0258720
hep	TUR10-0084000
nöbetçi	TUR10-0089530
dolu	TUR10-0217310
.	TUR10-1081860
</S>	</S>+ESTAG
<S>	<S>+BSTAG
Şöyle	TUR10-0290060
bir	TUR10-0290060
hedefi	TUR10-0031810
kararladı	TUR10-0417800
